CAPITAL FEDERAL,RECOLETA,356,TKL TEKIEL,AV. SANTA FE 2399,-,
CAPITAL FEDERAL,RECOLETA,1166,CALLAO,AV. CALLAO 2002,-,
CAPITAL FEDERAL,RECOLETA,1352,TKL SAN AGUSTIN,AV. LAS HERAS 2699,-,
CAPITAL FEDERAL,RECOLETA,4034,FRANCO ALEMANA,AV. PUEYRREDON 1598,-,
CAPITAL FEDERAL,RECOLETA,7436,FARMAPLUS CLINICAS,AV. CORDOBA 2501,-,
CAPITAL FEDERAL,RECOLETA,7757,ARTESANAL,AV. SANTA FE 2249,-,
CAPITAL FEDERAL,RECOLETA,8131,AZUL 11,AV. PUEYRREDON 1428,-,
CAPITAL FEDERAL,RECOLETA,8505,CALLAO 1621,AV. CALLAO 1621,-,
CAPITAL FEDERAL,RETIRO,29,NUEVA SAN NICOLAS,AV. SANTA FE 1299,-,
CAPITAL FEDERAL,RETIRO,4065,ARENALES,ARENALES 1302,-,
CAPITAL FEDERAL,RETIRO,9800,AZUL 15,RECONQUISTA 1015,mod alt,
CAPITAL FEDERAL,SAAVEDRA,1266,NORIMAR,BESARES 4099,-,
CAPITAL FEDERAL,SAN CRISTOBAL,9903,LEPA,JUAN DE GARAY 2565,+,4308-4006/5368-2553
CAPITAL FEDERAL,SAN NICOLAS,1127,RP.PORTE#A,AV. CORRIENTES 1499,-,
CAPITAL FEDERAL,SAN NICOLAS,1152,NUEVA CORDOBA,AV. CORDOBA 876,-,
CAPITAL FEDERAL,SAN NICOLAS,10094,FARMAPLUS TRIBUNALES,URUGUAY 479,-,
CAPITAL FEDERAL,SAN TELMO,7548,NUEVA RICAMON,AV. JUAN DE GARAY 401,-,
CAPITAL FEDERAL,TRIBUNALES,154,TKL AMERICA,AV. CORDOBA 1402,-,
CAPITAL FEDERAL,V. DEL PARQUE,372,MAFEI,AV. ALVAREZ JONTE 3202,-,
CAPITAL FEDERAL,V. DEL PARQUE,373,DANERI,CAMPANA 2502,-,
CAPITAL FEDERAL,V. PUEYRREDON,1407,NVA.SOCIAL FENIX III,ARTIGAS 4901,-,
CAPITAL FEDERAL,V. SANTA RITA,22,COSMOPOLITA,AV. GAONA 3501,-,
CAPITAL FEDERAL,VELEZ SARSFIELD,48,MS RIVADAVIA,AV. RIVADAVIA 8777,-,
CAPITAL FEDERAL,VILLA CRESPO,9817,CA.DE.FA.,AV. SCALABRINI ORTIZ 14,-,
CAPITAL FEDERAL,VILLA DEVOTO,206,SOCIAL DEVOTO,AV. SAN MARTIN 6473,-,
CAPITAL FEDERAL,VILLA DEVOTO,295,RS CANTILO,AV. LOPE DE VEGA 3249,-,
CAPITAL FEDERAL,VILLA DEVOTO,8118,FARMAPLUS DEVOTO,AV. BEIRO 5402,-,
CAPITAL FEDERAL,VILLA LUGANO,1153,CRUZ,AV. DE LA CRUZ 6255,-,
CAPITAL FEDERAL,VILLA LURO,1048,LURO,AV. LOPE DE VEGA 1397,-,
CAPITAL FEDERAL,VILLA ORTUZAR,8506,RS DAMELI,VIRREY AVILES 3371,+,4551-0313
CAPITAL FEDERAL,VILLA ORTUZAR,10789,FOREST,AV. FOREST 1446,+,4552-8448
